iter	Passed	Remaining
1447	8921	3401
1448	8928	3395
1449	8934	3388
1450	8940	3382
1451	8946	3376
1452	8953	3370
1453	8959	3364
1454	8965	3358
1455	8971	3352
1456	8977	3345
1457	8983	3339
1458	8989	3333
1459	8995	3327
1460	9002	3321
1461	9007	3314
1462	9013	3308
1463	9019	3302
1464	9026	3296
1465	9032	3290
1466	9038	3283
1467	9044	3277
1468	9050	3271
1469	9056	3265
1470	9062	3259
1471	9068	3252
1472	9074	3246
1473	9080	3240
1474	9086	3234
1475	9092	3227
1476	9098	3221
1477	9104	3215
1478	9111	3209
1479	9117	3203
1480	9124	3197
1481	9130	3191
1482	9136	3185
1483	9143	3179
1484	9149	3173
1485	9155	3166
1486	9161	3160
1487	9168	3154
1488	9174	3148
1489	9180	3142
1490	9186	3135
1491	9192	3129
1492	9198	3123
1493	9204	3117
1494	9210	3111
1495	9216	3104
1496	9222	3098
1497	9228	3092
1498	9234	3086
1499	9240	3080
1500	9246	3073
1501	9253	3067
1502	9259	3061
1503	9266	3055
1504	9272	3049
1505	9278	3043
1506	9284	3037
1507	9290	3031
1508	9296	3024
1509	9302	3018
1510	9308	3012
1511	9314	3006
1512	9320	3000
1513	9326	2993
1514	9333	2987
1515	9340	2981
1516	9345	2975
1517	9351	2969
1518	9357	2963
1519	9364	2957
1520	9369	2950
1521	9375	2944
1522	9381	2938
1523	9387	2932
1524	9393	2925
1525	9399	2919
1526	9405	2913
1527	9411	2907
1528	9417	2901
1529	9423	2894
1530	9429	2888
1531	9434	2882
1532	9441	2876
1533	9446	2869
1534	9453	2863
1535	9459	2857
1536	9465	2851
1537	9472	2845
1538	9478	2839
1539	9485	2833
1540	9491	2827
1541	9497	2820
1542	9503	2814
1543	9509	2808
1544	9515	2802
1545	9521	2796
1546	9527	2789
1547	9533	2783
1548	9539	2777
1549	9546	2771
1550	9552	2765
1551	9558	2759
1552	9565	2753
1553	9571	2746
1554	9577	2740
1555	9582	2734
1556	9588	2728
1557	9594	2722
1558	9601	2715
1559	9606	2709
1560	9613	2703
1561	9619	2697
1562	9626	2691
1563	9632	2685
1564	9637	2678
1565	9643	2672
1566	9650	2666
1567	9657	2660
1568	9663	2654
1569	9668	2648
1570	9674	2641
1571	9680	2635
1572	9686	2629
1573	9692	2623
1574	9699	2617
1575	9705	2611
1576	9711	2604
1577	9717	2598
1578	9723	2592
1579	9729	2586
1580	9736	2580
1581	9742	2574
1582	9748	2568
1583	9754	2561
1584	9760	2555
1585	9766	2549
1586	9771	2543
1587	9778	2537
1588	9784	2530
1589	9791	2524
1590	9797	2518
1591	9802	2512
1592	9809	2506
1593	9816	2500
1594	9822	2494
1595	9828	2487
1596	9834	2481
1597	9840	2475
1598	9847	2469
1599	9853	2463
1600	9859	2457
1601	9865	2450
1602	9870	2444
1603	9876	2438
1604	9882	2432
1605	9888	2426
1606	9894	2419
1607	9900	2413
1608	9907	2407
1609	9912	2401
1610	9918	2395
1611	9925	2388
1612	9931	2382
1613	9937	2376
1614	9943	2370
1615	9950	2364
